episode,reward,length,x_pos,epsilon,loss,flag_reached,time
167,-50.20,283,1130,0.4866,0.229131,0,510.7
168,-32.40,126,680,0.4853,0.233256,0,512.0
169,-74.60,240,722,0.4830,0.182575,0,514.4
170,-37.10,44,303,0.4825,0.215266,0,514.9
171,-57.20,372,1413,0.4789,0.231968,0,518.5
172,-31.90,31,308,0.4786,0.182238,0,518.8
173,-33.30,34,303,0.4783,0.224897,0,519.1
174,-22.70,103,685,0.4772,0.319379,0,520.1
175,-50.40,168,666,0.4756,0.190758,0,521.8
176,-33.70,34,299,0.4753,0.192374,0,522.1
177,-32.20,33,308,0.4749,0.253145,0,522.5
178,-190.80,634,1126,0.4687,0.181298,0,528.7
179,-20.50,99,689,0.4678,0.251079,0,529.7
180,-54.10,177,667,0.4660,0.189380,0,531.5
181,-86.30,444,1413,0.4617,0.220093,0,535.9
182,-31.70,32,309,0.4614,0.222111,0,536.2
183,-16.50,90,693,0.4605,0.222701,0,537.0
184,-33.50,33,297,0.4602,0.217221,0,537.4
185,-36.80,43,307,0.4597,0.155731,0,537.8
186,-35.80,42,310,0.4593,0.288657,0,538.2
187,-199.60,656,1128,0.4529,0.226954,0,544.7
188,-14.20,91,722,0.4520,0.279431,0,545.6
189,-22.10,100,677,0.4510,0.280655,0,546.6
190,-32.90,36,313,0.4507,0.072684,0,547.0
191,-33.10,35,307,0.4503,0.155065,0,547.3
192,-185.10,622,1134,0.4442,0.229583,0,553.5
193,-38.60,46,296,0.4438,0.215456,0,554.0
194,-48.80,165,670,0.4422,0.225190,0,555.5
195,-43.20,164,723,0.4406,0.188349,0,557.1
196,-41.60,52,292,0.4400,0.216986,0,557.6
197,-32.90,134,707,0.4387,0.203889,0,558.9
198,-21.30,282,1415,0.4360,0.216940,0,561.7
199,-56.50,228,847,0.4337,0.277952,0,564.1
200,-35.30,38,297,0.4334,0.279303,0,564.5
201,-40.00,47,288,0.4329,0.132116,0,565.0
202,-51.80,229,899,0.4307,0.199213,0,567.2
203,-37.70,149,722,0.4292,0.276591,0,568.7
204,-131.50,487,1130,0.4244,0.265143,0,573.4
205,-191.50,794,1761,0.4166,0.253230,0,581.4
206,-193.00,640,1129,0.4104,0.233516,0,587.7
207,-16.30,90,695,0.4095,0.325479,0,588.6
208,-33.60,37,310,0.4091,0.357551,0,589.0
209,-38.30,147,722,0.4077,0.262554,0,590.4
210,-39.10,46,293,0.4072,0.194289,0,590.8
211,-76.30,347,1122,0.4038,0.238823,0,594.2
212,-10.50,186,1139,0.4020,0.244210,0,596.2
213,5.30,276,1657,0.3993,0.208326,0,599.0
214,-33.80,38,312,0.3989,0.355044,0,599.4
215,-31.90,32,309,0.3986,0.316460,0,599.7
216,-32.20,34,314,0.3983,0.190641,0,600.0
217,-19.60,206,1126,0.3963,0.259188,0,602.1
218,-39.80,155,723,0.3948,0.283945,0,603.6
219,-36.60,143,706,0.3934,0.289396,0,605.0
220,-31.70,31,305,0.3930,0.271320,0,605.3
221,-172.20,509,812,0.3881,0.266755,0,610.4
222,-26.30,156,861,0.3865,0.266093,0,612.1
223,-33.10,37,315,0.3862,0.322768,0,612.4
224,-24.10,109,695,0.3851,0.202501,0,613.6
225,-36.20,43,308,0.3847,0.279280,0,614.0
226,-12.80,85,710,0.3838,0.245144,0,614.8
227,-20.10,97,685,0.3829,0.276203,0,615.7
228,-15.90,88,691,0.3820,0.208839,0,616.6
229,-14.60,90,712,0.3811,0.245218,0,617.5
230,-23.60,108,694,0.3801,0.218919,0,618.5
231,-58.90,191,673,0.3782,0.250388,0,620.4
232,-36.20,41,300,0.3778,0.180920,0,620.8
233,-51.80,229,898,0.3756,0.322509,0,623.1
234,-33.70,242,1128,0.3732,0.260627,0,625.4
235,-36.10,41,303,0.3728,0.217747,0,625.8
236,-35.60,41,306,0.3724,0.222625,0,626.2
237,-34.80,143,722,0.3710,0.284168,0,627.7
238,-39.40,198,898,0.3691,0.294614,0,629.7
239,-30.70,123,685,0.3679,0.274178,0,631.0
240,-105.60,352,850,0.3644,0.263134,0,634.4
241,-61.20,253,898,0.3619,0.294673,0,637.0
242,-21.20,211,1130,0.3599,0.245587,0,639.2
243,-27.40,113,676,0.3587,0.243331,0,640.3
244,-38.40,186,858,0.3569,0.209965,0,642.1
245,-5.10,294,1623,0.3540,0.237909,0,645.2
246,-110.80,376,898,0.3504,0.251251,0,649.0
247,-16.50,87,681,0.3495,0.189304,0,649.8
248,-22.90,100,671,0.3485,0.263361,0,650.8
249,-22.90,102,677,0.3475,0.334482,0,651.8
250,-27.70,118,693,0.3464,0.174217,0,652.9
251,-33.90,37,307,0.3460,0.260495,0,653.3
252,-44.50,342,1421,0.3427,0.238360,0,656.6
253,-20.90,209,1126,0.3406,0.269642,0,658.7
254,-32.20,33,308,0.3403,0.336783,0,659.0
255,-32.40,181,898,0.3385,0.205251,0,660.9
256,-31.80,32,308,0.3382,0.345277,0,661.2
257,-36.30,44,311,0.3378,0.336589,0,661.7
258,-39.50,45,285,0.3373,0.320903,0,662.1
259,-42.80,148,662,0.3359,0.262851,0,663.6
260,-16.30,93,707,0.3350,0.262262,0,664.6
261,-106.80,423,1124,0.3308,0.278684,0,668.9
262,-131.60,582,1510,0.3251,0.262761,0,674.7
263,-27.20,154,844,0.3236,0.299175,0,676.3
264,-40.70,328,1405,0.3204,0.236177,0,679.8
265,-18.70,95,693,0.3195,0.272978,0,680.8
266,-9.90,260,1440,0.3169,0.262235,0,683.4
267,-41.00,195,868,0.3150,0.269909,0,685.4
268,-43.00,163,722,0.3134,0.246991,0,687.0
269,-71.10,430,1507,0.3092,0.304701,0,691.4
270,-140.60,510,1132,0.3042,0.312650,0,696.7
271,42.60,271,2008,0.3015,0.271384,0,699.5
272,-38.20,43,288,0.3011,0.260793,0,699.9
273,-37.70,42,289,0.3007,0.298576,0,700.3
274,-34.60,38,304,0.3003,0.172067,0,700.7
275,-32.00,33,310,0.3000,0.232497,0,701.0
276,-31.10,30,309,0.2997,0.205712,0,701.3
277,-12.10,81,701,0.2989,0.298942,0,702.1
278,27.10,164,1426,0.2973,0.338421,0,703.8
279,-113.30,374,861,0.2936,0.293468,0,707.5
280,-42.60,162,722,0.2921,0.299576,0,709.2
281,-31.50,31,309,0.2918,0.214438,0,709.5
282,-31.60,135,722,0.2904,0.267159,0,711.0
283,-53.80,293,1132,0.2876,0.259703,0,714.0
284,-36.20,43,308,0.2871,0.259862,0,714.4
285,-36.60,43,306,0.2867,0.343959,0,714.8
286,-60.80,252,898,0.2842,0.285346,0,717.3
287,-58.80,228,824,0.2820,0.315996,0,719.6
288,-39.90,47,287,0.2816,0.269898,0,720.1
289,-31.20,126,692,0.2803,0.335015,0,721.4
290,-33.70,34,306,0.2800,0.431009,0,721.7
291,-33.10,35,309,0.2796,0.402222,0,722.0
292,-64.60,204,668,0.2776,0.346277,0,724.0
293,-20.70,98,685,0.2767,0.348515,0,725.0
294,-42.20,198,870,0.2747,0.302735,0,727.1
295,-34.20,39,312,0.2744,0.282613,0,727.5
296,-125.70,395,821,0.2705,0.300987,0,731.5
297,-23.90,105,681,0.2695,0.274803,0,732.6
298,-45.40,169,723,0.2678,0.302080,0,734.3
299,62.70,223,2017,0.2656,0.271684,0,736.6
300,-46.10,272,1127,0.2630,0.315615,0,739.3
301,-73.70,280,898,0.2602,0.295234,0,742.2
302,-31.70,33,313,0.2599,0.239991,0,742.6
303,-71.20,278,898,0.2572,0.317659,0,745.5
304,-22.10,98,671,0.2562,0.296694,0,746.5
305,-30.20,118,668,0.2550,0.298007,0,747.7
306,-39.40,45,286,0.2546,0.396525,0,748.2
307,-40.00,48,290,0.2541,0.386848,0,748.7
308,-14.60,88,706,0.2533,0.277284,0,749.6
309,-34.80,134,686,0.2520,0.299996,0,751.0
310,-11.20,84,724,0.2511,0.270767,0,751.9
311,6.40,214,1418,0.2490,0.318024,0,754.1
312,-41.40,159,723,0.2475,0.244337,0,755.7
313,18.10,448,2470,0.2431,0.324968,0,760.4
314,-42.80,163,722,0.2415,0.334252,0,762.1
315,-31.90,33,311,0.2412,0.262595,0,762.5
316,-36.10,42,307,0.2408,0.251914,0,762.9
317,-46.40,172,722,0.2391,0.346686,0,764.6
318,27.10,166,1433,0.2374,0.278597,0,766.3
319,-9.50,69,681,0.2368,0.243389,0,767.0
320,-37.40,184,860,0.2350,0.265094,0,768.9
321,-21.70,282,1411,0.2322,0.260743,0,771.8
