episode,reward,length,x_pos,policy_loss,value_loss,entropy,flag_reached,time
275,-77.20,232,654,0,0,0,0,506.7
276,-30.10,29,313,0,0,0,0,507.2
277,-32.90,120,651,0,0,0,0,508.6
278,-779.70,2005,722,0,0,0,0,528.3
279,-779.70,2005,723,0,0,0,0,549.0
280,-779.70,2005,723,0,0,0,0,568.3
281,-6.60,72,722,0,0,0,0,568.8
282,-762.10,2005,900,0,0,0,0,588.2
283,-779.70,2005,723,0,0,0,0,606.3
284,-35.60,145,722,0,0,0,0,607.7
285,-29.70,27,309,0,0,0,0,607.9
286,-27.10,108,659,0,0,0,0,608.9
287,-29.10,27,315,0,0,0,0,609.1
288,-779.70,2005,724,0,0,0,0,627.1
289,-29.20,27,314,0,0,0,0,627.5
290,-17.90,91,685,0,0,0,0,628.2
291,-779.70,2005,723,0,0,0,0,646.1
292,-779.70,2005,723,0,0,0,0,664.0
293,-779.70,2005,722,0,0,0,0,682.0
294,-15.30,88,697,0,0,0,0,682.9
295,-26.70,109,669,0,0,0,0,683.9
296,-64.30,342,1223,0,0,0,0,687.0
297,-29.20,27,314,0,0,0,0,687.2
298,-10.20,125,898,0,0,0,0,688.3
299,-29.10,27,315,0,0,0,0,688.5
300,-32.60,31,298,0,0,0,0,688.7
301,-30.10,29,313,0,0,0,0,688.9
302,-5.10,57,677,0,0,0,0,689.5
303,-779.70,2005,722,0,0,0,0,707.6
304,-31.90,31,303,0,0,0,0,707.8
305,-311.70,1004,1398,0,0,0,0,716.8
306,-11.80,79,696,0,0,0,0,717.4
307,-29.60,27,310,0,0,0,0,717.8
308,-272.30,771,859,0,0,0,0,724.6
309,-55.60,187,692,0,0,0,0,726.1
310,-31.20,372,1674,0,0,0,0,729.6
311,-762.10,2005,899,0,0,0,0,747.3
312,-29.10,27,315,0,0,0,0,747.5
313,-29.10,27,315,0,0,0,0,747.7
314,-29.10,27,315,0,0,0,0,747.9
315,-779.70,2005,722,0,0,0,0,765.8
316,-29.10,27,315,0,0,0,0,766.0
317,-29.10,27,315,0,0,0,0,766.2
318,-29.10,27,315,0,0,0,0,766.4
319,-29.10,27,315,0,0,0,0,766.7
320,-29.10,27,315,0,0,0,0,766.9
321,-345.90,944,815,0,0,0,0,775.2
322,-73.40,283,898,0,0,0,0,777.6
323,-29.50,27,311,0,0,0,0,778.1
324,-34.00,34,294,0,0,0,0,778.3
325,-29.10,27,315,0,0,0,0,778.5
326,-33.00,138,722,0,0,0,0,779.7
327,-762.10,2005,898,0,0,0,0,797.7
328,-376.40,1041,898,0,0,0,0,807.0
329,-83.80,434,1398,0,0,0,0,810.8
330,-762.10,2005,899,0,0,0,0,828.5
331,-29.60,27,312,0,0,0,0,828.7
