episode,reward,length,x_pos,epsilon,loss,flag_reached,time
159,0.80,229,1422,0.0200,1.430404,0,672.2
160,57.80,177,1784,0.0200,1.338550,0,676.1
161,64.60,215,2006,0.0200,1.193480,0,679.8
162,-218.10,925,2017,0.0200,1.198511,0,700.9
163,-52.30,350,1491,0.0200,1.093862,0,707.7
164,-20.20,98,688,0.0200,1.107561,0,709.4
165,11.40,128,1125,0.0200,1.041177,0,711.8
166,73.80,194,2012,0.0200,1.074539,0,716.2
167,29.30,154,1408,0.0200,1.098207,0,720.0
168,-5.60,59,680,0.0200,1.266538,0,721.7
169,-12.30,76,681,0.0200,1.129199,0,723.2
170,23.30,286,1922,0.0200,1.089802,0,729.2
171,28.10,159,1417,0.0200,0.965768,0,731.9
172,-63.50,210,705,0.0200,1.071118,0,735.6
173,-6.40,64,690,0.0200,1.171216,0,736.8
174,-773.90,2005,898,0.0200,1.033178,0,779.4
175,48.30,172,1671,0.0200,0.887819,0,783.4
176,38.40,135,1422,0.0200,0.953457,0,786.3
177,31.10,152,1416,0.0200,0.977172,0,789.8
178,-7.80,65,680,0.0200,0.859372,0,791.4
179,24.70,262,1793,0.0200,0.943385,0,799.2
180,16.50,115,1125,0.0200,0.891323,0,801.7
181,16.60,115,1126,0.0200,0.816152,0,803.8
182,9.70,205,1414,0.0200,1.019556,0,808.0
183,52.50,194,1801,0.0200,0.894984,0,811.3
184,-14.10,118,831,0.0200,0.913200,0,814.2
185,9.50,132,1123,0.0200,0.947878,0,816.5
186,44.30,250,1994,0.0200,0.919939,0,821.1
187,51.90,195,1799,0.0200,0.896449,0,825.0
188,37.40,199,1670,0.0200,0.951973,0,830.1
189,-10.00,81,722,0.0200,1.201171,0,831.7
190,51.20,198,1802,0.0200,0.973102,0,835.8
191,-0.90,160,1129,0.0200,0.951423,0,839.6
192,-18.40,143,888,0.0200,0.988053,0,842.2
193,-30.70,30,311,0.0200,0.972428,0,843.6
194,-7.40,69,700,0.0200,0.977151,0,845.1
195,4.70,150,1147,0.0200,0.907035,0,849.2
196,11.50,133,1146,0.0200,0.921331,0,851.6
197,20.70,167,1495,0.0200,0.900940,0,854.8
198,-20.10,147,885,0.0200,0.917954,0,858.2
199,64.80,203,1958,0.0200,0.952519,0,862.1
200,18.60,116,1149,0.0200,0.930698,0,864.5
201,38.50,158,1517,0.0200,0.989885,0,867.4
202,59.40,232,2020,0.0200,0.928158,0,873.3
203,8.50,472,2471,0.0200,1.019072,0,884.3
204,81.50,290,2474,0.0200,1.338246,0,890.6
205,15.60,190,1414,0.0200,1.163071,0,894.0
206,-31.60,30,304,0.0200,1.203202,0,894.8
207,17.50,313,1988,0.0200,1.307950,0,901.5
208,577.50,597,3161,0.0200,1.123522,1,913.5
209,36.50,142,1433,0.0200,1.427392,0,916.2
210,-7.80,66,686,0.0200,1.069353,0,918.2
211,36.00,139,1416,0.0200,1.075570,0,920.9
212,20.60,177,1412,0.0200,1.163449,0,924.1
213,-65.30,656,2470,0.0200,1.110254,0,937.5
214,54.70,184,1783,0.0200,1.130240,0,941.1
215,34.20,143,1412,0.0200,1.023870,0,943.7
216,9.40,139,1147,0.0200,0.987103,0,946.5
217,26.80,162,1416,0.0200,1.146164,0,950.7
218,-8.00,67,686,0.0200,1.055440,0,951.9
219,59.20,211,1936,0.0200,1.018374,0,956.0
220,562.00,636,3161,0.0200,0.988896,1,969.3
221,-18.80,147,898,0.0200,0.965484,0,972.5
222,4.60,146,1127,0.0200,0.985535,0,976.2
223,49.40,170,1674,0.0200,1.043033,0,981.5
224,13.30,124,1127,0.0200,1.056172,0,983.6
225,7.40,138,1126,0.0200,0.952758,0,986.2
226,13.10,126,1133,0.0200,0.979603,0,988.8
227,27.60,163,1427,0.0200,1.043512,0,991.9
228,59.60,231,2018,0.0200,1.098244,0,997.6
229,-5.40,69,722,0.0200,1.007876,0,998.8
230,46.90,205,1787,0.0200,0.925905,0,1002.7
231,17.00,114,1126,0.0200,0.956674,0,1005.5
232,-15.10,88,701,0.0200,0.952316,0,1007.9
233,63.10,223,2023,0.0200,1.059463,0,1012.3
234,-5.20,69,723,0.0200,1.172462,0,1014.0
235,32.80,147,1414,0.0200,0.917179,0,1017.6
236,33.20,172,1520,0.0200,1.126965,0,1022.0
237,17.70,113,1129,0.0200,1.095111,0,1024.8
238,-22.80,102,680,0.0200,0.967967,0,1026.7
239,38.10,140,1439,0.0200,0.970470,0,1029.4
240,-7.60,75,722,0.0200,1.012561,0,1031.0
241,-7.20,74,722,0.0200,0.783676,0,1032.3
242,18.50,113,1137,0.0200,1.028369,0,1034.6
243,15.20,120,1132,0.0200,1.010094,0,1037.0
244,49.50,166,1659,0.0200,0.922751,0,1042.0
245,49.90,168,1669,0.0200,0.980874,0,1045.5
246,33.50,151,1437,0.0200,1.034405,0,1048.5
247,73.20,196,2014,0.0200,0.937391,0,1052.1
248,17.50,116,1139,0.0200,1.083117,0,1055.7
249,10.40,134,1137,0.0200,0.995778,0,1058.2
250,18.40,114,1137,0.0200,1.021250,0,1060.3
251,29.30,268,1981,0.0200,0.942171,0,1065.2
252,-6.60,72,722,0.0200,1.036897,0,1066.5
253,66.50,211,2007,0.0200,0.994003,0,1071.5
254,14.50,123,1137,0.0200,0.888325,0,1073.6
255,16.10,117,1128,0.0200,0.965542,0,1075.6
256,75.40,191,2016,0.0200,0.957680,0,1079.5
257,-5.00,68,722,0.0200,0.962322,0,1080.8
258,14.20,122,1128,0.0200,1.087029,0,1083.8
259,1.90,337,2004,0.0200,0.943579,0,1089.9
260,70.60,203,2016,0.0200,0.968175,0,1093.7
261,-22.30,619,2753,0.0200,1.283552,0,1106.7
262,-14.00,84,694,0.0200,1.285086,0,1108.5
263,-10.10,71,683,0.0200,1.259944,0,1110.1
264,-5.80,60,680,0.0200,1.471662,0,1111.2
265,72.10,200,2019,0.0200,1.205106,0,1115.6
266,-9.00,74,706,0.0200,1.082902,0,1116.8
267,-2.10,163,1128,0.0200,1.163572,0,1119.9
268,54.70,229,1961,0.0200,1.103860,0,1124.3
269,52.20,190,1780,0.0200,1.125506,0,1129.9
270,49.40,171,1678,0.0200,1.247073,0,1133.1
271,22.40,286,1983,0.0200,1.056608,0,1139.3
272,30.00,154,1416,0.0200,1.204660,0,1143.0
273,57.70,150,1677,0.0200,1.020016,0,1146.6
274,65.70,216,2019,0.0200,1.074382,0,1151.7
275,51.10,200,1811,0.0200,1.062251,0,1156.0
276,54.20,158,1674,0.0200,1.038310,0,1160.7
277,39.50,465,2753,0.0200,1.086248,0,1170.6
278,11.80,128,1127,0.0200,1.080245,0,1173.4
279,52.00,161,1662,0.0200,0.934986,0,1176.6
280,-107.70,755,2466,0.0200,1.095595,0,1192.2
281,26.80,190,1526,0.0200,1.000503,0,1195.6
282,74.20,194,2016,0.0200,1.016652,0,1200.1
283,-79.50,243,675,0.0200,1.091945,0,1206.1
284,20.70,177,1415,0.0200,0.952541,0,1209.7
285,26.10,164,1414,0.0200,0.984395,0,1213.3
286,54.10,158,1671,0.0200,1.044418,0,1216.8
287,-10.40,184,1129,0.0200,0.965483,0,1221.8
288,-7.40,71,710,0.0200,0.903750,0,1223.1
289,21.50,109,1150,0.0200,0.993340,0,1225.4
290,44.50,182,1673,0.0200,0.947711,0,1228.8
291,36.60,138,1417,0.0200,1.025985,0,1231.6
292,19.30,112,1141,0.0200,0.976082,0,1234.9
293,-6.60,65,692,0.0200,0.905255,0,1236.2
294,36.20,139,1416,0.0200,0.988230,0,1239.3
295,77.10,187,2017,0.0200,0.988887,0,1242.8
296,16.10,189,1414,0.0200,1.069147,0,1246.8
297,7.30,475,2472,0.0200,1.002887,0,1257.9
298,17.50,114,1128,0.0200,0.957819,0,1259.9
299,-8.00,66,684,0.0200,0.964897,0,1261.6
300,-9.30,69,681,0.0200,0.871790,0,1264.4
301,-8.00,73,710,0.0200,0.931176,0,1266.2
302,-7.50,70,703,0.0200,1.030906,0,1267.6
303,-31.30,30,305,0.0200,1.043499,0,1268.3
304,52.20,190,1780,0.0200,0.992379,0,1273.6
305,-18.70,95,691,0.0200,1.011843,0,1275.3
306,30.30,287,1951,0.0200,0.944498,0,1282.1
307,22.10,310,1961,0.0200,1.002725,0,1288.2
308,5.70,141,1122,0.0200,1.000559,0,1290.9
309,-8.10,73,709,0.0200,0.888826,0,1292.5
310,44.90,182,1675,0.0200,0.986574,0,1298.3
311,63.70,206,1961,0.0200,0.937848,0,1303.2
312,65.20,198,1944,0.0200,1.013581,0,1307.6
313,66.30,216,2027,0.0200,1.074065,0,1312.4
314,5.90,142,1126,0.0200,0.969313,0,1315.2
315,52.80,189,1782,0.0200,1.464272,0,1319.8
316,-3.20,168,1139,0.0200,1.280440,0,1324.8
317,-14.30,83,687,0.0200,1.384435,0,1326.5
318,579.50,592,3161,0.0200,1.276824,1,1340.5
319,25.70,165,1414,0.0200,1.448884,0,1344.6
320,-189.90,1058,2961,0.0200,1.172706,0,1368.9
321,47.10,264,2025,0.0200,1.057178,0,1374.0
322,-12.70,80,691,0.0200,1.166302,0,1375.6
323,9.50,134,1128,0.0200,1.101499,0,1378.4
324,392.70,1059,3161,0.0200,1.086187,1,1401.0
325,1.30,160,1150,0.0200,1.207140,0,1403.7
326,-81.60,584,2020,0.0200,1.065152,0,1412.9
327,-15.30,86,689,0.0200,1.241975,0,1415.5
328,37.00,200,1670,0.0200,1.130276,0,1418.6
329,50.10,200,1799,0.0200,1.148515,0,1422.1
330,51.30,192,1781,0.0200,1.011415,0,1425.3
331,51.80,193,1790,0.0200,1.201064,0,1428.9
332,-10.40,72,682,0.0200,1.186898,0,1430.3
333,42.40,187,1672,0.0200,1.083906,0,1433.8
334,61.30,171,1795,0.0200,1.083803,0,1436.7
335,52.30,189,1780,0.0200,1.057787,0,1439.8
336,56.20,181,1784,0.0200,1.058821,0,1444.1
337,19.30,181,1414,0.0200,0.973075,0,1447.3
338,13.10,346,2015,0.0200,1.065897,0,1453.1
339,-17.60,92,690,0.0200,1.137951,0,1454.6
340,56.70,228,1993,0.0200,1.110826,0,1459.7
341,20.50,111,1148,0.0200,1.029356,0,1462.0
342,68.00,208,2010,0.0200,1.039630,0,1465.9
343,-17.30,89,683,0.0200,0.979053,0,1467.8
344,33.80,145,1418,0.0200,1.051525,0,1470.8
345,10.80,131,1132,0.0200,1.102031,0,1474.6
346,55.10,154,1667,0.0200,0.951559,0,1477.2
347,17.50,112,1123,0.0200,1.171830,0,1479.1
348,68.60,209,2020,0.0200,1.023964,0,1482.9
349,18.80,110,1128,0.0200,1.112311,0,1485.1
350,75.10,193,2021,0.0200,1.064481,0,1488.9
351,47.40,172,1662,0.0200,0.980518,0,1492.0
352,10.10,132,1126,0.0200,1.220871,0,1494.1
353,11.30,129,1127,0.0200,0.985002,0,1496.1
354,44.20,247,1998,0.0200,1.016288,0,1500.3
355,-13.70,81,687,0.0200,0.977909,0,1501.7
356,-562.50,2005,2994,0.0200,1.179791,0,1536.3
357,52.10,160,1659,0.0200,1.214683,0,1539.4
358,10.50,295,1785,0.0200,1.094511,0,1545.8
359,-5.60,61,686,0.0200,1.168360,0,1547.4
360,55.60,187,1804,0.0200,1.108026,0,1552.6
361,16.90,187,1416,0.0200,1.125137,0,1556.6
362,32.10,149,1416,0.0200,1.213513,0,1559.9
363,37.50,226,1779,0.0200,1.123684,0,1566.0
364,-18.00,145,898,0.0200,1.090129,0,1568.6
365,675.30,352,3161,0.0200,1.160456,1,1575.8
366,50.80,197,1796,0.0200,1.061305,0,1581.7
367,15.30,119,1128,0.0200,1.143501,0,1584.4
368,-527.90,1813,2470,0.0200,1.087889,0,1617.2
369,50.20,167,1668,0.0200,1.005110,0,1619.9
370,12.80,125,1127,0.0200,1.183220,0,1621.9
371,29.30,156,1414,0.0200,1.081858,0,1625.2
372,-5.50,59,681,0.0200,1.089042,0,1626.1
373,47.70,202,1783,0.0200,1.016034,0,1629.4
374,-35.50,583,2474,0.0200,1.093889,0,1640.9
375,78.40,184,2018,0.0200,1.161802,0,1645.0
376,15.10,119,1126,0.0200,1.018553,0,1648.0
377,32.60,148,1417,0.0200,1.109181,0,1651.6
378,26.00,261,1927,0.0200,1.024141,0,1659.8
379,34.70,142,1414,0.0200,1.049009,0,1662.8
380,16.70,452,2473,0.0200,1.071443,0,1671.5
381,18.10,188,1432,0.0200,0.897543,0,1675.6
382,11.60,127,1123,0.0200,1.128457,0,1679.0
383,59.30,174,1787,0.0200,0.992515,0,1682.1
384,58.20,204,1925,0.0200,1.001026,0,1686.0
385,-11.10,120,900,0.0200,1.036467,0,1688.1
386,18.20,184,1415,0.0200,1.106169,0,1691.4
387,35.30,165,1511,0.0200,1.212433,0,1695.1
388,-20.80,345,1672,0.0200,1.027748,0,1701.1
389,-0.50,157,1122,0.0200,1.050304,0,1705.2
390,74.80,195,2028,0.0200,1.071844,0,1711.7
391,53.50,188,1787,0.0200,1.002035,0,1715.8
392,27.00,260,1932,0.0200,1.181887,0,1720.9
393,-14.20,81,682,0.0200,1.539635,0,1722.5
394,45.40,178,1664,0.0200,1.334134,0,1726.9
395,27.80,154,1394,0.0200,1.275713,0,1730.0
396,61.70,210,1957,0.0200,1.233771,0,1734.0
397,27.70,117,1243,0.0200,1.191899,0,1736.3
